word,count
till,3
m,3
cream,3
billy,3
ladies,3
even,3
guitar,3
sunday,3
knows,3
western,3
heartaches,3
friday,3
kissing,3
buttons,3
nine,3
mother,3
doo,3
case,3
promises,3
club,3
whip,3
key,3
clean,3
treat,3
cross,3
mess,3
jam,3
ones,3
candle,3
naughty,3
karma,3
unchained,3
survivor,3
kissed,3
week,3
third,3
silence,3
uptown,3
quit,3
temptation,3
cover,3
sara,3
cowboy,3
cup,3
joy,3
turning,3
chain,3
twice,3
bottom,3
swing,3
romance,3
devoted,3
endless,3
seen,3
express,3
b,3
mirror,3
diane,3
downtown,3
bop,3
rumors,3
yeah,3
gloria,3
making,3
thrill,3
alley,3
inspiration,3
many,3
send,3
shawty,3
ends,3
breathe,3
bill,3
says,3
fell,3
heartbreaker,3
6,3
ramblin,3
hope,3
may,3
cut,3
lips,3
everytime,3
uh,3
glad,3
answer,3
daddys,3
tree,3
serenade,3
reasons,3
cake,3
outside,3
yet,3
deja,3
lane,3
raunchy,3
dangerous,3
wheels,3
thousand,3
gun,3
playing,3
polka,3
luck,3
weve,3
broadway,3
laugh,3
letters,3
gave,3
between,3
sound,3
south,3
died,3
breakin,3
hush,3
rag,3
fantasy,3
louie,3
kill,3
photograph,3
weekend,3
groovy,3
r,3
vida,3
second,3
wonderland,3
ballerina,3
welcome,3
joe,3
father,3
chance,3
tzena,3
smoky,3
daydream,3
grow,3
under,3
drank,3
tennessee,3
respect,3
buttermilk,3
went,3
shouldve,3
doing,3
lee,3
book,3
sleeping,3
hearted,3
meant,3
sittin,3
girlfriend,3
buy,3
shoulder,3
son,3
foot,3
bills,3
sukiyaki,3
rich,3
rising,3
wasted,3
scream,3
tower,3
tha,3
needs,3
fair,3
state,3
talks,3
bed,3
teach,3
working,3
apologize,3
replay,3
heartbreak,3
safari,2
madly,2
d,2
twelfth,2
henry,2
gangstas,2
goodnight,2
wipe,2
rockstar,2
handy,2
pity,2
troubled,2
telephone,2
feelings,2
bear,2
electric,2
solo,2
across,2
demons,2
stupid,2
topsy,2
tiger,2
tainted,2
remix,2
mistake,2
singing,2
vain,2
clap,2
h,2
boots,2
believes,2
